"Scouter Initials","Match Number","Robot","Future Alliance in Qualy?","Team Number","Starting Position","No Show","Cage Position","Moved?","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Dislodged Algae?","Auto Foul","Dislodged Algae?","Pickup Location","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Crossed Feild/Played Defense?","Tipped/Fell Over?","Touched Opposing Cage?","Died?","End Position","Defended?","Yellow/Red Card","",""
"Karen","16","B1","false","10580","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"Karen","16","B1","false","10580","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"Karen","16","B1","false","10580","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"A.K","17","R2","false","7102","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","1","0","0","3","0","0","false","false","0","false","P","false","No Card","",""
"M.M","17","R1","false","6606","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"DO","17","R3","true","9053","R3","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","Fc","false","No Card","",""
"MR","17","CH","false","9065","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"JP","17","B2","true","3526","R1","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","0","2","2","0","0","0","false","false","0","false","P","false","No Card","",""
"Karen","17","B1","false","9301","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","6","0","0","0","0","0","false","false","0","false","Sc","false","No Card","",""
"DO","18","R3","false","4584","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","1","0","0","4","0","0","false","false","0","false","Dc","false","No Card","",""
"A.K","18","R2","true","6106","R3","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","0","4","0","0","0","0","false","false","0","false","No","false","No Card","",""
"M.M","18","R1","false","3794","R2","false","SP2","true","2","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"MR","18","CH","false","7421","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","1","0","4","0","0","0","false","false","0","false","No","false","No Card","",""
"JP","18","B2","true","4731","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","Ground","0","0","0","0","0","6","false","false","0","false","P","false","No Card","",""
"Karen","18","B1","false","6170","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","Both","5","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"RCL","19","R2","false","3527","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","false","P","false","No Card","",""
"DFBr","19","B3","false","4977","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","3","0","0","0","0","0","false","false","1","false","P","false","No Card","",""
"RCL","19","R2","false","3527","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","false","P","false","No Card","",""
"DFBr","19","B3","false","4977","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","3","0","0","0","0","0","false","false","1","false","P","false","No Card","",""
"AZ","20","B1","false","7546","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","2","0","0","5","0","0","false","false","0","false","Sc","false","No Card","",""
"MOE","20","B3","false","10225","R3","false","SP2","true","1","0","2","1","0","0","false","0","false","Both","2","1","0","0","0","2","false","false","0","false","P","false","No Card","",""
"ERC","20","R1","false","4403","R1","false","SP1","true","1","0","0","0","0","0","false","0","false","None","0","2","2","4","0","0","false","false","0","false","P","false","No Card","",""
"Pau","20","B2","true","3480","R1","false","SP1","true","0","0","0","0","0","0","false","0","true","Both","0","2","0","0","0","3","false","false","0","false","No","false","No Card","",""
"RCL","20","R2","false","6017","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","2","4","0","0","0","false","false","0","false","P","false","No Card","",""
"Beltran","20","R3","false","4635","R1","false","SP1","true","0","2","0","0","0","0","false","0","true","HP","0","4","5","1","0","0","true","false","0","false","Dc","false","No Card","",""
"AZ","21","B1","false","6676","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","1","3","0","0","0","0","false","false","0","true","No","false","No Card","",""
"MOE","21","B3","false","3933","R1","false","SP2","false","0","0","1","0","0","0","false","0","false","Ground","0","0","1","0","0","3","false","false","0","false","P","false","No Card","",""
"RCL","21","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","Both","1","0","0","0","6","1","false","false","0","false","P","false","No Card","",""
"RCL","21","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","Both","1","0","0","0","6","1","false","false","0","false","P","false","No Card","",""
"K S","22","B2","true","6606","R1","true","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"MOE","22","B3","false","9301","R2","false","SP2","true","1","0","0","0","0","0","false","0","false","Ground","4","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Beltran","22","R3","false","4371","R3","false","SP1","true","0","2","0","0","0","0","false","0","true","HP","3","3","1","0","0","0","false","false","0","false","No","false","No Card","",""
"Beltran","22","R3","false","4371","R3","false","SP1","true","0","2","0","0","0","0","false","0","true","HP","3","3","1","0","0","0","false","false","0","false","No","false","No Card","",""
"RCL","22","R2","false","3158","R1","false","SP1","true","1","0","0","0","0","0","false","0","false","HP","0","0","2","5","0","0","false","false","0","false","No","false","No Card","",""
"MOE","23","B3","false","7725","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","2","0","0","0","0","0","false","false","0","true","P","false","No Card","",""
"RM","23","B1","true","7102","R3","false","SP2","true","0","0","0","0","0","0","false","0","true","None","0","0","0","0","2","2","false","false","0","false","P","false","No Card","",""
"K S","23","B2","false","3526","R1","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","0","0","5","0","0","1","false","false","0","false","No","false","No Card","",""
"RCL","23","R2","true","6106","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","5","0","0","0","1","false","false","0","true","No","false","No Card","",""
"RM","24","B1","false","8290","R3","false","SP2","true","1","0","0","0","0","0","false","0","false","HP","5","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"MOE","24","B3","false","5959","R1","false","SP1","false","0","0","0","0","0","0","false","0","false","Both","1","1","0","0","3","3","false","false","0","false","P","false","No Card","",""
"K S","24","B2","false","3527","R2","false","SP1","true","1","0","0","0","0","0","false","0","false","HP","2","4","0","0","0","0","false","false","0","false","P","false","No Card","",""
"MOE","25","B3","false","5932","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","true","P","false","No Card","",""
"K S","25","B2","true","4775","R1","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","3","1","0","0","0","0","false","false","0","false","No","false","No Card","",""
"RM","25","B1","false","10225","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"K S","26","B2","false","6017","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","0","1","3","0","0","0","false","false","0","false","Fc","false","No Card","",""
"RM","26","B1","false","4977","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","4","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"MOE","26","B3","false","6647","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","1","3","0","0","false","false","0","false","P","false","No Card","",""
"K S","27","B2","false","3480","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","1","0","0","2","false","false","0","true","No","false","No Card","",""
"MOE","27","B3","false","3522","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","2","2","false","false","0","false","P","false","No Card","",""
"RM","27","B1","false","6348","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","4","0","0","false","false","0","false","P","false","No Card","",""
"RM","28","B1","false","6652","R2","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"K S","28","B2","false","7546","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","1","0","0","4","0","0","false","false","0","false","Dc","false","No Card","",""
"MOE","28","B3","false","2283","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","No","true","No Card","",""
"RCL","28","R2","false","4010","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","No","true","No Card","",""
"RCL","28","R2","false","4010","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","No","true","No Card","",""
"ERC","28","R1","false","10580","R2","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"MOE","29","B3","false","5705","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","29","B2","false","4371","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","4","false","P","true","No Card","",""
"RM","29","B1","false","9301","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","6","0","0","0","0","0","false","false","0","false","Fc","false","No Card","",""
"RCL","29","R2","false","3933","R2","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","1","0","3","3","false","false","0","false","No","false","No Card","",""
"RCL","29","R2","false","3933","R2","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","1","0","3","3","false","false","0","false","No","false","No Card","",""
"MR","29","CH","true","3472","R2","false","SP1","true","0","0","0","1","0","0","false","0","false","HP","0","0","0","1","0","0","false","false","0","false","P","false","No Card","",""
"Pau","30","B2","false","6106","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","1","0","0","0","0","1","false","false","0","true","No","false","No Card","",""
"RM","30","B1","true","8740","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","None","0","0","0","0","1","1","false","false","0","false","P","false","No Card","",""
"MOE","30","B3","false","4775","R1","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","2","2","0","0","0","true","false","0","false","P","false","No Card","",""
"RCL","30","R2","false","5959","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","1","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"RCL","30","R2","false","5959","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","1","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","31","B2","false","6676","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"RM","31","B1","true","7102","R1","false","SP1","true","0","0","0","0","0","0","false","0","true","None","0","1","0","0","0","5","false","false","0","false","P","false","No Card","",""
"MOE","31","B3","false","6170","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","0","0","0","false","false","0","false","Fc","false","No Card","",""
"","31","R2","false","9282","R3","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"RM","32","B1","false","10225","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","true","false","0","false","P","true","No Card","",""
"MOE","32","B3","false","4731","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","32","B2","false","6348","R3","false","SP2","true","1","0","0","0","0","0","false","0","true","HP","1","0","0","4","0","0","false","false","0","false","No","false","No Card","",""
"RCL","32","R2","false","10529","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","P","false","No Card","",""
"MR","32","R1","false","3480","R1","false","SP1","true","0","0","0","0","0","0","false","0","true","HP","0","1","3","0","0","1","false","false","0","false","P","false","No Card","",""
"RM","33","B1","false","8741","R3","false","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","true","P","false","No Card","",""
"Pau","33","B2","false","3794","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","1","0","0","false","false","0","false","P","false","No Card","",""
"MOE","33","B3","false","3526","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","2","3","0","0","0","false","false","0","false","P","false","No Card","",""
"MR","33","CH","false","6010","R2","false","SP1","false","0","0","0","0","0","0","false","0","true","HP","0","1","3","0","0","0","false","false","0","false","Dc","false","No Card","",""
"RCL","33","R2","false","7546","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","false","Sc","false","No Card","",""
"ERC","33","R1","false","10580","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"Pau","34","B2","false","3933","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","Both","0","1","2","0","0","2","false","false","0","false","No","false","No Card","",""
"RM","34","B1","true","4010","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","Fc","true","No Card","",""
"MOE","34","B3","false","5887","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","Both","0","1","0","0","3","3","false","false","0","false","No","false","No Card","",""
"RCL","34","R2","false","4584","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","3","0","0","false","false","0","false","Fc","false","No Card","",""
"MR","34","CH","true","7725","R3","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","true","No","false","No Card","",""
"MOE","35","B3","false","9053","R2","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"RM","35","B1","false","9065","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","35","B2","false","4403","R1","false","SP1","true","1","0","0","0","0","0","false","0","false","HP","0","0","0","6","0","0","false","false","0","false","Fc","false","No Card","",""
"MOE","36","B3","false","6652","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"RM","36","B1","false","4371","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","1","0","0","0","0","false","false","0","true","No","false","No Card","",""
"Pau","36","B2","false","3522","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","HP","0","2","2","0","0","2","false","false","0","false","No","false","No Card","",""
"RCL","36","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","0","1","2","1","false","false","0","false","Sc","false","No Card","",""
"RCL","36","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","0","1","2","1","false","false","0","false","Sc","false","No Card","",""
"RCL","36","R2","false","2283","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","0","1","2","1","false","false","0","false","Sc","false","No Card","",""
